AAL	Ashendon and Aynho Line	0.00 - 18.29	Ashendon Junction	Now NAJ3
HTH	Hammersmith Branch	0.08 - 1.32	Paddington	Part of modern-day Hammersmith and City Line
HTJ	Torrisholme Junction No 1 to Torrisholme Junction No 2	0.00 - 0.43/ 262.38 - 263.01	Torrisholme Junction No 1/St Pancras	nan
HTL	Hamiltonhill Lines	101.36 - 108.67	Carlisle via Ravenscraig No 1	nan
HTM	Haywood Junction to Thorpe Junction (Shaftholme Flyover)	67.66 - 69.58	Manchester Victoria via Rochdale and Wakefield Kirkgate	nan
HTN	Harton Branch	0.00 - 1.60	Cleadon Junction	Different source suggests code is HOV
HTS	Hunts Cross East Junction to Southport Lord Street Branch (Liverpool North Extension Railway)	7.28 - 31.14	Liverpool Central	Structure also shown at 2.08
HTW	Heath Town Junction to Walsall Lichfield Road Junction	46.73 - 53.24	Derby via Water Orton	nan
HTY	Heaton Yard	2.18 - 2.70	Newcastle	nan
HTZ	Howlerslade Tramway	14.54 - 15.58	Berkeley Road Junction	nan
HUE	Hunslet East Branch	0.00 - 1.14	Neville Hill West Junction	nan
HUG	Hull Goods Yard	?? - ??	nan	nan
HUL	Hull Line (Leeds to Hull)	see separate portions	nan	nan
HUL1	Hull Station to Selby	0.00 - 30.40	Hull Paragon	nan
HUL2	Selby to Selby South Junction	30.40 - 31.12	HullParagon	nan
HUL3	Selby South Junction to Micklefield	0.00 - 10.50	Selby South Junction	nan
HUL4	Micklefield to Leeds City Station	10.50 - 20.50	Selby South Junction	Extended 2001 from 20.47
HUN	Hunterston Branch	0.00 - 3.58	Hunsterton Junction	nan
HUS	Huskisson Branch	14.76 - 17.79	Liverpool Central	nan
HWB	Highbridge Wharf Branch	22.34 - 23.01	Evercreech Junction	nan
HWD	Hackney Wick Goods Depot	0.00 - 0.18	Hackney Wick Junction	nan
HWE	Howe Bridge East Curve (Atherton Junction to Howe Bridge East Junction)	0.00 - 0.27	Howe Bridge East Junction	nan
HWG	Hartford West Goods Curve	0.00 - 0.29	Hartford West Junction	nan
HWH	Hartlepool to West Hartlepool Branch	0.00 - 1.26	Cemetery West Junction	nan
HWL	Hartwoodhill Branch	0.00 - 1.00	Barton Siding	Near Shotts
HWS	Heacham to Wells-Next-The-Sea Branch (West Norfolk Line)	1.64 - 20.11/ 13.67 - 32.04	Hunstanton/King's Lynn	nan
HWT	Hawcoat Branch	0.00 - 0.52	Ormsgill Junction	nan
HXH	Halifax High Level Branch	198.25 - 201.33	Kings Cross via Birkenshaw line	nan
HXS	Hunts Cross to Southport Line	see separate portions	nan	nan
HXS1	Liverpool Central to Hunts Cross	0.00 - 6.11	Liverpool Central	nan
HXS2	Sandhills Junction to Liverpool Central	34.75 - 37.13	Manchester Victoria	nan
HXS3	Sandhills Junction to Southport	1.41 - 18.35	Liverpool Exchange	nan
HYB	Hereford Hay and Brecon Line	0.00 - 25.50	Hereford	nan
HYC	Hoyland Curve	0.00 - 0.26	Hoyland Curve Junction (MR)	nan
HYD	Hyndland West Curve (Anniesland)	0.00 - 0.16	Hyndland North Junction	nan
HYL	Hayle Wharf Branch	0.00 - 0.54	Hayle Wharf Branch Junction	nan
HYM	Healey Mills Traction Maintenance Depot	42.57 - 43.63	Manchester Victoria via Todmorden	nan
HYT	Hythe Tramway	53.41 - 53.52	Liverpool Street	nan
HYZ	Hayes Creosote Depot	&ap;10.22 - 10.71	Paddington	nan
IAO	Island Road Loop	0.00 - 1.36	Barrow Station	Barrow Station to Shipyard Junction
IBB	Inkerman Brickworks Branch	0.00 - 0.35	Inkerman Branch Junction	nan
ICI	Callerton ICI Branch (shared with Tyne and Wear Metro)	see separate portions	nan	nan
ICI1	Benton South Junction to Benton Metro Boundary	0.00 - 0.10	Benton South Junction	nan
ICI2	Benton Metro Boundary to Kenton Bank Foot Metro Boundary	0.10 - 5.00	Benton South Junction	nan
ICI3	Kenton Bank Foot Metro Boundary to Callerton ICI	5.00 - 7.71	Benton South Junction	nan
ICI4	Callerton ICI to Ponteland	7.71 - 8.61	Benton South Junction	nan
ICS	Ilford Carriage Sidings	7.63 - 8.30	Liverpool Street	nan
IDH	Ilford Hostel	nan	nan	Bridge and buildings only
IGD	Ince Moss to Red Rock Goods Branch	12.19 - 17.59	Huyton Junction	nan
IGE	Inverkeithing Curve	0.00 - 0.33	Inverkeithing East Junction	nan
IGL	Ingliston Branch	0.00 - 1.47	Ingliston Junction	nan
IGN	Invergordon Harbour Branch Junction to Invergordon Harbour	0.00 - 0.57	Invergordon Harbour Branch Junction	nan
IHB	Irvine Harbour Branch	0.00 - 0.66	Irvine	nan
IKT	Ilkeston Town Branch	126.42 - 127.17	St Pancras	nan
ILF	Ilfracombe Branch	211.32 - 226.19	Waterloo	nan
ILK	Ilkley Branch	see separate portions	nan	nan
ILK1	Apperley Junction to Burley	201.79 - 207.68	St Pancras via Cudworth	nan
ILK2	Burley to Ilkley	207.68 - 211.20	St Pancras via Cudworth	nan
IMB	Inverness to Muirtown Basin (Caledonian Canal) Branch	0.00 - 0.57	Canal Junction	nan
IMD	Inveramsay to Macduff Branch	20.10 - 50.19	Aberdeen	nan
IMG	Ince Moss Goods Lines	0.00 - 0.79/ 0.00 - 0.61	Bamfurlong Junction	nan
IMG1	"Example for the manual"	nan	nan	nan
IMS	Immingham Storage Co Branch	106.43 - 107.35	Manchester London Road via Woodhead	nan
INC	Ilkeston North Curve	0.00 - 0.60	Ilkeston West Junction	nan
ING	Ingliston Branch	0.00 - 0.76	Ingliston Branch Junction	nan
INL	Ingleton Branch	0.00 - 18.72	Low Gill	nan
INM	Inglebys Mill Branch	0.00 - 0.40	Junction near Tadcaster	nan
INN	Ingleton Branch	242.04 - 246.21	St Pancras	nan
INS	Inverness Harbour Branch	117.58 - 118.14	Perth	nan
INW	Immingham Dock North West Entrance Branch	104.74 - 105.74	Manchester London Road via Woodhead	nan
IOW	Isle of Wight Line (Ryde Pier Head to Shanklin)	0.00 - 8.31	Ryde Pier Head	nan
IPD	Ipswich Docks Branch	0.23 - 2.63	East Suffolk Junction	nan
IRE	Irvine Freight Depot	0.00 - 0.66	Irvine Junction	Also listed as 5.20 - 5.51 from Kilmarnock via Dreghorn
IRM	Inverurie to Old Meldrum Branch	16.11 - 22.21	Aberdeen	nan
IRR	Ipswich Ranleigh Road Depot	68.47 - 68.74	Liverpool Street	nan
ISC	Isabella Colliery Branch	0.00 - 2.30	Newsham North Junction	nan
ISL	Certain lines near St Pancras	see separate portions	nan	nan
ISL1	probably North London Line connection	0.000km - 0.705km	York Way South Junction	nan
ISL2	probably Silo Curve	0.000km - 0.305km	0.901km from St Pancras	nan
ITB	Imperial Tube Works Branch (Coatbridge/Sheepford)	0.00 - 0.52	Coatdyke Goods	nan
ITW	Rosehall Junction to BSC Imperial Works Branch	6.59 - 8.52	Rutherglen East Junction	nan
IUP	Ipswich Upper Yard	68.72 - 69.50	Liverpool Street	nan
IVB	Inchture Village Branch	0.00 - 1.32	Inchture main line	nan
IVW	See IWV; shown on St Lawrence Shute bridge in error see this image	nan	nan	nan
IWB	Isle of Wight Brading to Bembridge Branch	0.03 - 2.65	Brading	nan
IWC	Isle of Wight Newport to Cowes Branch	9.74 - 14.25	Ryde Pier Head	nan
IWF	Isle of Wight Newport to Freshwater Branch	0.00 - 11.70	Newport Junction	nan
IWM	Isle of Wight Merstone to Sandown Branch	0.00 - 5.28	Sandown Junction	nan
IWR	Isle of Wight Newport to Ryde Smallbrook Junction Branch	2.10 - 9.74	Ryde Pier Head	nan
IWS	Isle of Wight Shanklin to Ventnor Branch	8.31 - 12.44	Ryde Pier Head	nan
IWV	Isle of Wight Newport to Ventnor West Branch	0.00 - 10.54	Newport Junction	nan
JAM	Jamage Branch	0.00 - 0.54	Jamage Junction	nan
JAT	Waterloo International Terminal approaches	0.00 - 0.39	Waterloo International	ELR derived from designer's initials
JAW	Jarrow Branch	see separate portions	nan	nan
JAW1	Pelaw Junction to Jarrow	0.00 - 4.22	Pelaw Junction	nan
JAW2	Jarrow to South Shields	3.36 - 7.27	Pelaw Junction	Listed as 0.00 - 0.44; South Shields line assumed for this code
JBB	Jedburgh Branch	0.00 - 7.08	Roxburgh	nan
JCA	Joan Croft Junction to Applehurst Junction Curve	0.00 - 0.49	Joan Croft Junction	nan
JCH	Hooton and West Kirby (West Kirby Junction Caldy and Hooton) Line	0.00 - 11.78	Hooton Junction	nan
JEB	Jerviston Branch	1.21 - 1.79	Motherwell South Junction	nan
JER	Jersey Marine Loop	0.00 - 2.24	Lonlas Junction	nan
JLP	Johnstone Loop	0.00 - 0.40	Johnstone	nan
JMM	Ferrybridge Power Station	0.00 - 2.31	Ferrybridge Junction	nan
JNG	Johnstone North Goods Branch	0.00 - 0.64	North Johnstone/Cartside Junction	nan
JRT	Junction Road Junction to Carlton Road Junction	see separate portions	nan	nan
JRT1	Carlton Road Junction to Mortimer Street Junction	0.03 - 0.18	Carlton Road Junction	nan
JRT2	Mortimer Street Junction to Junction Road Junction	2.00 - 2.42	St Pancras via Kentish Town	nan
JRW	Special Route for 2-monthly Recordings	see separate portions	nan	nan
JRW1	Paddington to Challow	0.00 - 63.40	Paddington	nan
JRW2	Challow to Wootton Bassett	63.40 - 83.07	Paddington	nan
JRW3	Wootton Bassett to Stoke Gifford	83.07 - 112.00	Paddington	nan
JSB	Jessops Branch	161.08 - 161.23	St Pancras	nan
JVN	Ravenscraig Branch (Jerviston Junction to Ravenscraig)	89.14 - 91.03	Carlisle	nan
JWT	James Watt Dock Branch	121.74 - 122.56	Carlisle via Motherwell, Larkfield Junction and Terminus Junctions	nan
JYL	Jersey Marine Yard Line	44.16 - 46.07	Taff Vale Extension Junction	nan
KAB	Kintore to Alford Branch	13.53 - 29.32	Aberdeen	nan
KAG	Kilbirnie and Giffen Line	0.27 - 4.24	Kilbirnie Junction	nan
KAS	Kinnaber Junction and Stanley Junction (Dunblane to Aberdeen) Line	158.38 - 203.11	Carlisle via Ravenscraig No 1	nan
KBB	Kenilworth and Berkswell Branch	4.40 - 8.70	Milverton	nan
KBC	Kingsbury to Baddesley Colliery Branch	0.00 - 4.66	Kingsbury Branch Junction	nan
KBE	Kilsyth and Bonnybridge Branch	1.77 - 10.42	site near Netherinch	It is not known why the zero point is not at a convenient location (line mileages as given in bridge book)
KBF	Kelloe Bank Foot Branch	11.06 - 14.44	Cemetery North Junction	nan
KBN	Kirkburton Branch	0.00 - 4.27	Kirkburton Branch Junction	nan
KBS	Kirkham and Blackpool South Branch	see separate portions	nan	nan
KBS1	Kirkham North Junction to Blackpool Central (Coastal Route)	8.28 - 21.02	Preston	nan
KBS2	Kirkham North Junction to Blackpool South (Direct)	8.36 - 14.77	Preston	nan
KCB	Kincardine Branch	0.12 - 13.75	Kincardine Junction	Includes part KNE1 and AKE
KCD	Kelty to Capledrae (Lochore) Branch	24.59 - 27.28	Edinburgh Waverley	nan
KCH	Killoch Disposal Point Branch (Newton-On-Ayr)	see separate portions	nan	nan
KCH1	Annbank Junction to Drongan	43.52 - 48.73	Bridge Street Station	nan
KCH2	Drongan to Killoch	0.00 - 3.43 + disposal point	Drongan Junction	nan
KCS	Kidsgrove to Crewe South Line	see separate portions	nan	nan
KCS1	Kidsgrove to Crewe South	0.00 - 8.32	Kidsgrove Junction	nan
KCS2	Crewe South Junction	157.55 - 157.61	Euston	nan
KCT	Kirkcudbright Branch	19.70 - 30.10	Dumfries	nan
KEB	King Edward Bridge East Junction to North Junction Line	0.00 - 0.13	King Edward Bridge East Junction	nan
KEH	Kettering to Huntingdon Line	0.00 - 26.21	Kettering Junction	nan
KEI	Kilwinning East to Irvine Line	0.00 - 3.13	Kilwinning East	nan
KEL	Knott End Line	0.00 - 11.33	Garstang and Catterall Junction	nan
KEN	Kenmure Branch	?? - ??	nan	Possibly Kenmuir Colliery Siding near Carmyle
KER	Kerry Branch	0.00 - 3.62	Kerry Branch Junction	nan
KES	Knottingley East Junction to South Junction Curve	0.00 - 0.20	Knottingley South Junction	nan
KET	Kelvedon to Tollesbury Branch	0.00 - 10.08/ 42.21 - 52.29	Kelvedon Junction/Liverpool Street	nan
KEW	Kilmarnock Electricity Works Branch	0.00 - 0.38	Electricity Works Siding	Off RIC
KGC	Kensal Green City Lines	0.00 - 1.00	Kensal Green Junction	nan
KGD	King George Dock Branch	0.00 - 3.40	Bridges Junction	nan
KGH	Kingshill Branch, Wilsontown	2.74 - 5.68	Wilsontown Junction South	nan
KGN	Kington Branch/Leominster & New Radnor Line	0.00 - 19.71	Kington Junction	nan
KGV	King George V Dock Branch	0.00 - 1.35	Bridges Junction	Thought to be King George Dock Branch, Hull
KGW	Kensal Green Junction to Willesden Low Level	5.13 - 5.36	Camden Road Junction	nan
KHL	Kirkhill Line (Cathcart West Junction to Newton)	95.77 - 100.75	Carlisle	nan
KIB	Killamarsh Branch	154.51 - 155.67	St Pancras	nan
KID	Kidwelly Branch	see separate portions	nan	nan
KID1	Kidwelly Branch Junction to stop blocks, Kidwelly Station	0.00 - 1.79	Kidwelly Branch Junction	Includes TYZ
KID2	Connection from KID1 to SWM2	233.75 - 234.04	Paddington via Stroud	nan
KID3	Tycoch Junction to Kidwelly Quay	1.42 - 2.21	Kidwelly Branch Junction	nan
KIG	Kingswood Branch	127.77 - 129.49	Derby	nan
KIL	Kidwelly Loop	nan	nan	Now KIP
KIL	Killingholme Branch	see separate portions	nan	nan
KIL1	Humber Road Junction to Humber Road Level Crossing	104.05 - 105.10	Manchester London Road via Woodhead	nan
KIL2	Humber Road Level Crossing to Killingholme	0.00 - 2.70	Humber Road Level Crossing	nan
KIL3	Immingham Light Railway	2.70 - &ap;6.30	Humber Road Level Crossing	nan
KIM	Kiltonthorpe Mines Branch	0.00 - 1.01	Kiltonthorpe Junction	nan
KIN	Kingsbridge Branch	0.00 - 12.38	Kingsbridge Branch Junction	nan
KIP	Kidwelly Loop	4.39 - 4.55	Burry Port	Formerly KIL
KIR	Kirklee Loop	0.00 - 0.22	Kelvinside North Junction	nan
KIZ	Kingham Loop/Chipping Norton Loop	0.00 - 0.54	Kingham East Junction	nan
KJE	Keymer Junction to Eastbourne Line	see separate portions	nan	nan
KJE1	Keymer Junction to Old Southerham Junction	40.69 - 50.29	London Bridge via Redhill	nan
KJE2	Old Southerham Junction to New Southerham Junction	50.40 - 51.11	London Bridge via Redhill	nan
KJE3	Southerham Junction to Eastbourne	9.11 - 23.73	Brighton	nan
KJW	Kingsbury Junction to Whitacre Junction Chord	29.39 - 31.69	Derby	nan
KKE	Kirkhouse Branch	0.00 - 1.01	Lambley Junction	nan
KLB	Killin Junction to Loch Tay Branch	0.00 - 5.04	Killin Junction	nan
KLF	Kinloss to Findhorn Branch	0.00 - 2.74	Kinloss Junction	nan
KLH	King's Lynn to Hunstanton Branch	96.53 - 111.49/ 0.20 - 15.16	Liverpool Street via Clapton/King's Lynn	nan
KLM	Elderslie No 2 Junction to Kilmacolm Branch	9.12 - 16.70	Bridge Street	nan
KLO	Kelso Branch	0.00 - 21.07/ 53.41 - 40.79	Tweedmouth/Edinburgh Waverley	nan
KLT	Kensington Olympia Station Junction to LUL lines	2.70 - 2.72	Clapham Junction	nan
KLY	King's Lynn Yard	96.50 - 97.76	Liverpool Street via Clapton	nan
KMB	Kirriemuir Branch	0.00 - 3.12	Kirriemuir Junction	nan
KMG	Kingmoor Goods Line and Sidings (Carlisle)	see separate portions	nan	nan
KMG1	Kingmoor Junction to Kingmoor Yard via Goods Lines	3.36 - 5.61	Upperby Bridge Junction via Bog Junction/Rome Street Route to Mossband Junction	nan
KMG2	Kingmoor Yard to Mossband Junction via Goods Lines	4.47 - 9.26	Upperby Bridge Junction via Bog Junction/Rome Street Route to Mossband Junction	nan
KNB	Kingsmill Branch	0.00 - 0.46	King's Mill Branch Junction	nan
KNC	Kirkby North Curve	0.00 - 0.51	Kirkby Bentinck North Junction	Kirkby North Junction to Kirkby East Junction
KNE	Kincardine Power Station Branch (Dunfermline)	see separate portions	nan	nan
KNE1	Kincardine Junction to Elbowend Junction	0.00 - 14.14	Kincardine Junction	nan
KNE2	Elbowend Junction to Charlstown Junction	14.14 - 15.45	Kincardine Junction	nan
KNI	Knightswood Branch	0.00 - 0.68	Jordanhill Junction	nan
KOM	Keadby Old Main Line	18.19 - 20.33	Doncaster Marshgate Junction	nan
KPB	Keith to Portessie Branch	0.18 - 13.71	Keith	nan
KPC	Kiveton Park Colliery Branch	155.38 - 157.42	St Pancras	nan
KPK	Kinning Park Branch	101.61 - 102.15	Carlisle	nan
KPS	Keadby Power Station	17.13 - 18.18	Doncaster Marshgate Junction	nan
KRS	Kingsland Road Sidings	117.53 - 117.78	Paddington via Box	nan
KSA	Kinross to Alloa (Devon Valley) Branch	7.10 - 23.25	Stirling Middle Junction	nan
KSC	Kings Sutton to Chipping Norton Branch	nan	nan	Now BNK
KSH	Knockshinnoch Washery Branch	54.05 - 55.63	Bridge Street Station via Dalry	nan
KSL	Knighton Junction Swannington and Leicester Junction Line	97.45 - 127.00	St Pancras via Leicester, Coalville and Woodville	nan
KSN	Killamarsh South Junction to North Junction Curve	0.00 - 0.16	Killamarsh South Junction	nan
KSP	Killwinning East Slag Plant Branch	?? - ??	nan	nan
KST	Blackburn King Street Branch	0.00 - 0.30	Blackburn Junction	nan
KSU	Kent and East Sussex Light Railway	45.15 - 66.50	Charing Cross	nan
KTB	Brighton Kemp Town Branch	0.76 - 2.28	Brighton	nan
KTE	Kirkby Trading Estate Branch (Dale Lane Junction to Estate)	0.00 - 0.62	Dale Lane Junction	nan
KVB	Kelvin Valley Branch	0.00 - 11.21	Maryhill Park East Junction	nan
KVL	Kelvin Valley Loop	0.00 - 0.26	Kelvin Valley West Junction	nan
KWB	Keadby Wharf Branch	18.13 - 18.62	Doncaster Marshgate Junction	nan
KWD	Kingswinford Line	144.31 -156.48	Paddington via Worcester	nan
KWS	Knottingley West Junction and Shaftholme Junction Line	58.21 - 68.75	Manchester Victoria via Rochdale and Wakefield Kirkgate	nan
KWV	Keighley and Worth Valley Railway	0.00 - 4.75	Keighley Station Junction	nan
KYB	Kearsley Branch	7.30 - 8.43	Manchester Victoria	nan
KYH	Kirkcaldy Harbour Branch	0.00 - 0.70	Harbour Branch Junction	nan
KYL	Kyle of Lochalsh Line	0.20 - 63.64	Dingwall	nan
KYR	Kittymuir Branch	?? - ??	nan	nan
LAB	Lampeter and Aberayron Branch/Aberayron Branch	0.00 - 12.14	Aberayron Junction	nan
LAC	Lancaster Castle Branch	260.05 - 260.46	St Pancras	nan
LAD	Lanarkshire and Dumbartonshire Branch	102.55 - 113.46	Carlisle via Rutherglen, Glasgow Central Low Level and Old Kilpatrick	nan
LAK	Lanark Branch	?? - ??	nan	Duplicates LNK
LAL	Langloan Branch	0.00 - 0.37	Langloan East Junction	nan
LAM	Lambourn Valley Branch	0.00 - 12.35	Newbury	nan
LAN	Launceston Branch	see separate portions	nan	nan
LAN1	Tavistock (1965) Junction to original LAN route south of Marsh Mills Station	242.42 - 243.50	Paddington via Box	nan
LAN2	Tavistock Junction to Launceston North Station	0.00 - 31.67	Tavistock Junction	nan
LAP	Henley to Lapworth Line	0.00 - 3.40	Rowington Junction	Duplicates HLP
LAR	Lanarkshire and Ayrshire Railway	108.59 - 117.20/ 0.79 - 12.45	Carlisle via Kings Park/Barrmill Junction	Includes part NNH and GIF3. Neilston to Giffen Junction and Kilwinning Junction to Ardrossan Montgomerie Pier
LAS	Laira Sidings	243.55 - 244.45	Paddington via Box	nan
LAU	Lauchope Branch	0.00 - 0.38	Lauchope Colliery Branch Junction	South of Chapelhall
LAV	Laverstock North Junction to South Junction Curve	82.11 - 82.39	Waterloo	nan
LBB	Lugton and Beith Branch	0.00 - 5.05	Barrmill Junction	Includes GIF2
LBC	London Bridge to Bricklayers Arms Junction (South London Line)	0.00 - 2.12	London Bridge	nan
LBE	Leeds and Bradford Exchange (now Interchange) Line	see separate portions	nan	nan
LBE1	Leeds Holbeck West Junction to Laisterdyke East Junction	0.00 - 6.53	Holbeck West Junction	nan
LBE2	Laisterdyke East Junction to Laisterdyke West Junction	190.29 - 190.42	Kings Cross via Birkenshaw Line	nan
LBE3	Laisterdyke West Junction to Hammerton Street Junction	190.50 - 191.30	Kings Cross via Birkenshaw Line	nan
LBE4	Hammerton Street Junction to Mill Lane Junction	191.30 - 191.78	Kings Cross via Birkenshaw Line	nan
LBH	Lambton Branch	0.00 - 1.05	Pallion Junction	nan
LBM	Leven Bone Mill Branch	?? - ??	nan	nan
LBR	Leven Dock Branch	0.00 - 0.12	Leven Dock Siding	nan
LBS	Pemberton Junction to Norley Colliery Branch	0.00 - 0.66	Goose Green Junction	nan
LBW	London Bridge to Windmill Bridge Junction	0.00 - 9.69	London Bridge	nan
LCB	Lifford Canal Branch	46.65 - 47.63	Derby	nan
LCE	Long Eaton Curve	0.00 - 0.27	Long Eaton Junction	nan
LCG	Langton Colliery Branch	0.00 - 0.69	Langton Colliery Branch Junction	Formerly 135.53 - 136.42 (from St Pancras)
LCH	Lewisham East (Ladywell Line) to Hayes Line	5.74 - 14.34	Charing Cross	nan
LCJ	Loversall Junction to Flyover East Junction Curve	152.36 - 152.79	Kings Cross	nan
LCL	Llandilo and Carmarthen Line	0.00 - 13.25	Carmarthen Valley Junction	nan
LCM	Langwith Colliery Branch	0.00 - 1.16	Langwith Colliery Junction	nan
LCN	Lostock Junction to Crow Nest Junction (Hindley) Branch	13.39 - 17.18	Manchester Victoria	nan
LCR	Loversall Carr Junction to Rossington Junction Curve	152.00 - 152.12	Kings Cross	nan
LCS	Liverpool Edge Hill to Crown Street Goods Branch	1.32 - 1.78	Olive Mount Junction	nan
LCU	Langley Mill Curve	?? - ??	nan	nan
LCZ	Cinderford Loops	see separate portions	nan	nan
LCZ1	Cinderford North Loop	17.69 - 18.14	Berkeley Road Junction	nan
LCZ2	Cinderford South Loop	18.00 - 18.14	Berkeley Road Junction	nan
LDA	Llandaff Loop	4.41 - 4.71	Cardiff Bute Road	Structure also listed at 3.68
LDB	Luton to Dunstable Branch link	0.00 - 0.10	Luton South Junction	nan
LDD	Southall Loco & Diesel Depot	8.46 - 9.02	Paddington	nan
LDK	Langton Dock Branch	?? - ??	nan	nan
LDL	Llanelly Dock Loop	224.51 - 225.15	Paddington via Stroud	nan
LDN	Loddington Branch	1.53 - 3.65	Cransley Branch Junction	nan
LDP	Leyton Depot	?? - ??	nan	GE ??
LDS	Leadhills Branch	0.00 - 7.24	Elvanfoot Junction	nan
LDU	Leamside and Durham Line	0.00 - 2.46	Auckland Junction	nan
LDY	Londonderry Branch	0.00 - 1.55	Ryhope Grange Junction	nan
LDZ	Llandillo Loop Line	223.49 - 224.01 and 0.00 - 0.40	Paddington via Stroud and Llandillo Junction West (reverse) and Llandilo Junction	nan
LEB	Leith Branch	0.00 - 2.47	Crewe Junction	nan
LEC	London Euston to Crewe Line	see separate portions	nan	nan
LEC1	London Euston to Rugby Trent Valley Junction	-0.03 - 83.18	Euston	nan
LEC2	Rugby Trent Valley Junction to Stafford South	83.18 - 133.04	Euston	nan
LEC3	Stafford Station Area	133.04 - 133.60	Euston	nan
LEC4	Stafford North to Crewe	133.60 - 157.20	Euston	nan
LEC5	Crewe Station Area	157.20 - 159.00	Euston	nan
LEC6	Norton Bridge Down Slow Line	137.42 - 139.64	Euston	2016 route
LED	Ledbury Branch	nan	nan	Now LEY
LED	Little Eaton Junction to Denby Branch	131.04 - 137.54	St Pancras	nan
LEE	Lee Junction to Lee Spur Junction Curve	0.00 - 0.29	Lee Loop Junction	nan
LEF	Leavenseat Fork	0.00 - 0.18	Leavenseat Box	Off Caledonian Railway Shotts line, connection to North British LEV
LEG	Legbrannock Branch	0.00 - 0.50	Newhouse Junction	Off Airdrie to Morningside line
LEH	Leeds and Harrogate Line	see separate portions	nan	nan
LEH1	Leeds Wortley Junction to Pannal Junction	0.16 - 14.60	Wortley Junction	nan
LEH2	Pannal Junction to Starbeck North Junction	14.60 - 15.29	Wortley Junction	nan
LEH3	Crimple Junction to Harrogate Station	15.20 - 17.24	Wortley Junction	Formerly CFH2
LEI	Leigh Branch	0.00 - 3.32	Pennington South Junction	nan
LEJ	Leatherhead and Effingham Junction Line	18.10 - 22.15	Waterloo via Worcester Park	nan
LEK	Etruria to Kidsgrove Loop	0.00 - 7.25	Etruria Junction	nan
LEL	Lydney East Loop	nan	nan	Now LEP
LEL	Lifford West Junction to East Junction Line	46.11 - 46.36	Derby via Camp Hill Line	nan
LEM	Leavenseat Branch	0.00 - 0.18	Levenseat Siding	LMS route
LEN	Longlands, Eaglescliffe and Newcastle Line	see separate portions	nan	nan
LEN1	Leeds to Northallerton High Junction	14.60 - 42.21	Leeds Wortley Junction via Pannal Junction and Starbeck avoiding Harrogate	nan
LEN2	Northallerton High Junction to East Low Junction	0.00 - 0.36	Northallerton High Junction	nan
LEN3	East Low Junction to Newcastle East Junction via Hartlepool	42.79 - 101.59	Leeds Wortley Junction via Harrogate Starbeck and Northallerton Low Level	Some structures also have DSN2 references
LEP	Lydney East Loop	7.71 - 8.01	Berkeley Road Junction	Formerly LEL
LEV	Leavenseat Branch	0.00 - 0.61	Leavenseat Branch Junction, Fauldhouse & Crofthead	LNER route
LEW	Leeds to Wetherby Line	0.00 - 10.56	Cross Gates East Junction	nan
LEX	Littleworth Extension Branch	0.00 - 0.41	Littleworth Junction	Off East Cannock Junction to Norton branch, LNW, Littleworth Junction to Cross Keys Junction
LEY	Ledbury Branch	0.00 - 17.37	Over Junction	Formerly LED
LEZ	Bromyard Branch	135.01 - 147.79	Paddington via Didcot and Charlbury	Now part of BYB
LFB	Llanfyllin Branch 1: mileage change to Llanfyllin	1.17 - 8.44	Llanymynech South Junction	nan
LFL	Low Fell Civil Engineers Depot	0.13 - 0.37	Low Fell Junction	nan
LFN	Lincoln Fossdyke Navigation (GN and GE Joint canal)	nan	nan	Canal bridges only
LFS	Larkfield South Curve	see separate portions	nan	nan
LFS1	Larkfield Junction to Langside Junction	101.01 - 101.17	Carlisle	nan
LFS2	Langside Junction to Muirhouse South Junction/Strathbungo Junction	0.61 - 1.19	Gorbals Junction	nan
LGB	Llangollen Goods Branch	5.46 - 5.72	Llangollen Line Junction via Llangollen Goods Junction (reverse direction and count)	nan
LGC	Loanhead to Glencorse Branch	10.33 - 14.62	Edinburgh Waverley via Portobello Junction	nan
LGS	Largs Line	see separate portions	nan	nan
LGS1	Kilwinning Junction to Holm Junction	25.65 - 30.44	Bridge Street Station	nan
LGS2	Holm Junction to Largs	30.44 - 42.07	Bridge Street Station	nan
LGW	Linacre Gas Works Branch	0.76 - 1.32	Fazakerley North Junction	nan
LGZ	Llanelly Dock Goods Branch	224.68 - 225.11	Paddington via Stroud	nan
LHB	Lowestoft Harbour Branch	116.58 - 117.35	Liverpool Street	nan
LHC	Leith Central Branch	1.03 - 2.06	Edinburgh Waverley	nan
LHD	Lawhead Branch	0.00 - 1.11	Lawhead Junction	nan
LHI	Llanhilleth Branch	5.36 - 6.63	Taff Vale Extension Junction	nan
LHJ	Lostock Hall Junction to Preston Fishergate via Skew Bridge Line	26.18 - 28.61	Liverpool Exchange	nan
LHL	Lostock Hall Lines (also known as Farington Old Curve)	0.00 - 0.77	Farington Junction	nan
LHN	Little Hulton Branch	see separate portions	nan	nan
LHN1	Roe Green Junction to Bolton Rothwell Street Junction	0.00 - 4.78	Roe Green Junction	nan
LHN2	Little Hulton Mineral Branch	0.00 - 1.11	Little Hulton Junction	nan
LHR	London Heathrow Branch	nan	nan	Now HLL
LHS	Leith Docks Branch	see separate portions	nan	nan
LHS1	Portobello Junction to Docks	0.00 - 2.51 + docks	Portobello Junction	nan
LHS2	Seafield Junction to South Depot	2.22 - 2.66 + depot	Portobello Junction	nan
